STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980505,73,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980506,76,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980507,75,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980508,70,56
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980509,69,57
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980510,66,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980511,61,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980512,57,43
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980513,72,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980514,80,46
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980515,88,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980516,92,57
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980517,90,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980518,87,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980519,92,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980520,91,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980521,89,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980522,81,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980523,73,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980524,75,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980525,87,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980526,86,63
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980527,78,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980528,85,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980529,90,62
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980530,90,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980531,90,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980601,89,77
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980602,84,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980603,84,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980604,77,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980605,74,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980606,71,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980607,72,46
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980608,75,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980609,75,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980610,62,56
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980611,69,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980612,82,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980613,85,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980614,83,59
